Location: shot_2
Time: 2017-11-05 10:54:29
Sampling Rate (ms): 2.0
Sample Number: 1000
Stack Count: 3

Chan:	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24
Data:	 6383	  622	  973	 -617	 -357	  -11	 -121	 -155	 -333	   76	 -387	   52	 -130	 -105	 -115	  835	 -197	  374	 -457	 -658	 -542	  -33	 -297	  743
Data:	 6789	 -993	  -29	-1036	 -441	  -11	 -127	 -174	 -306	   83	 -403	   29	 -127	 -107	 -114	  838	 -202	  390	 -451	 -722	 -582	  -33	 -337	  720
Data:	 6636	-2732	-1074	-1438	 -523	   -6	 -123	 -186	 -304	   79	 -413	    8	 -124	 -117	 -118	  826	 -191	  406	 -468	 -710	 -530	  -91	 -315	  753
Data:	 6094	-4521	-2179	-1745	 -589	   -8	 -116	 -195	 -296	   70	 -413	   12	 -104	 -120	 -107	  832	 -182	  404	 -481	 -730	 -570	 -100	 -350	  750
Data:	 5345	-6283	-3341	-1923	 -613	   -6	 -111	 -202	 -309	   62	 -412	   15	  -91	 -118	 -115	  827	 -197	  411	 -468	 -754	 -521	 -130	 -356	  702
Data:	 4484	-7920	-4449	-1964	 -599	   -8	  -94	 -209	 -353	   65	 -413	   -1	 -104	 -127	 -119	  827	 -206	  408	 -486	 -728	 -499	 -129	 -396	  676
Data:	 3555	-9308	-5374	-1899	 -546	  -17	  -88	 -205	 -371	   74	 -412	   -7	 -114	 -135	 -119	  828	 -204	  410	 -451	 -712	 -502	 -117	 -390	  635
Data:	 2549	-10290	-5990	-1788	 -474	  -25	  -80	 -202	 -375	   73	 -408	    5	 -118	 -138	 -115	  827	 -173	  417	 -470	 -681	 -517	   -6	 -404	  613
Data:	 1495	-10699	-6210	-1644	 -376	  -24	  -72	 -198	 -390	   60	 -385	    8	 -114	 -147	 -116	  831	 -175	  420	 -468	 -677	 -563	   30	 -387	  575
Data:	  399	-10359	-6011	-1451	 -259	  -19	  -67	 -186	 -417	   60	 -387	   12	 -131	 -159	 -107	  836	 -180	  424	 -460	 -683	 -598	  -15	 -367	  598
Data:	 -690	-9162	-5442	-1183	 -116	  -11	  -70	 -185	 -440	   67	 -385	   25	 -145	 -160	 -116	  830	 -148	  440	 -470	 -660	 -621	    2	 -364	  579
Data:	-1705	-7061	-4594	 -823	   53	    9	  -66	 -185	 -428	   68	 -392	   25	 -147	 -157	 -112	  838	 -139	  469	 -454	 -695	 -659	   -4	 -379	  598
Data:	-2539	-4120	-3551	 -369	  252	   37	  -82	 -177	 -414	   90	 -404	   31	 -142	 -158	 -126	  820	 -136	  449	 -470	 -688	 -642	    4	 -293	  679
Data:	-3150	 -543	-2392	  140	  459	   77	  -80	 -182	 -399	   85	 -410	   31	 -142	 -146	 -123	  819	 -159	  442	 -468	 -707	 -572	  -64	 -309	  660
Data:	-3501	 3429	-1182	  658	  654	  115	  -77	 -193	 -409	   83	 -421	   47	 -151	 -133	 -108	  836	 -148	  456	 -486	 -713	 -470	 -128	 -277	  662
Data:	-3563	 7424	   52	 1152	  801	  146	  -89	 -189	 -413	   87	 -426	   36	 -143	 -130	 -114	  834	 -157	  469	 -505	 -723	 -465	 -124	 -260	  708
Data:	-3354	11052	 1291	 1595	  896	  171	  -85	 -198	 -387	   94	 -446	   35	 -162	 -136	 -111	  832	 -148	  462	 -484	 -682	 -446	 -129	 -336	  692
Data:	-2870	13939	 2513	 1996	  926	  189	  -97	 -190	 -402	  107	 -442	   38	 -162	 -133	 -116	  835	 -146	  427	 -462	 -694	 -386	  -80	 -349	  658
Data:	-2195	15764	 3679	 2330	  926	  187	 -103	 -197	 -383	   99	 -426	   42	 -155	 -113	 -114	  832	 -173	  426	 -446	 -694	 -388	   10	 -365	  612
Data:	-1411	16304	 4705	 2571	  891	  183	 -121	 -205	 -398	  105	 -413	   31	 -155	 -113	 -112	  830	 -173	  438	 -476	 -681	 -480	    8	 -359	  603
